start time,request type (ie POST),latency,response code
1606517444666,GET,27289,200
1606517471955,GET,25829,200
1606517497784,GET,27521,200
1606517525305,GET,23083,200
1606517548388,GET,25232,200
1606517573620,GET,26163,200
1606517375158,GET,22118,200
1606517397276,GET,23623,200
1606517420899,GET,22715,200
1606517443614,GET,23776,200
1606517467390,GET,25691,200
1606517493081,GET,25690,200
1606517518771,GET,27543,200
1606517546314,GET,23470,200
1606517569784,GET,25378,200
1606517595162,GET,19740,200
1606517388098,GET,23869,200
1606517411967,GET,25458,200
1606517437425,GET,25111,200
1606517462536,GET,22574,200
1606517485110,GET,24132,200
1606517509242,GET,26847,200
1606517536089,GET,24791,200
1606517560880,GET,27094,200
1606517587974,GET,21634,200
1606517609608,GET,13586,200
1606517650046,GET,3384,200
1606517653430,GET,2419,200
1606517655849,GET,2168,200
1606517658017,GET,1961,200
1606517659978,GET,1235,200
1606517661213,GET,1029,200
1606517662242,GET,863,200
1606517663105,GET,807,200
1606517663912,GET,839,200
1606517664751,GET,814,200
1606517377737,GET,23537,200
1606517401274,GET,22915,200
1606517424189,GET,26437,200
1606517450626,GET,22636,200
1606517473262,GET,26802,200
1606517500064,GET,26772,200
1606517526836,GET,24449,200
1606517551285,GET,25694,200
1606517576979,GET,25666,200
1606517602645,GET,16653,200
1606517346891,GET,23573,200
1606517370464,GET,24538,200
1606517395002,GET,21504,200
1606517416506,GET,24584,200
1606517441090,GET,23225,200
1606517464315,GET,24303,200
1606517488618,GET,26135,200
1606517514753,GET,24701,200
1606517539454,GET,27272,200
1606517566726,GET,23570,200
1606517374884,GET,22630,200
1606517397514,GET,24732,200
1606517422246,GET,22148,200
1606517444394,GET,27508,200
1606517471902,GET,25656,200
1606517497558,GET,27028,200
1606517524586,GET,23173,200
1606517547759,GET,24870,200
1606517572629,GET,26406,200
1606517599035,GET,18503,200
1606517451253,GET,28141,200
1606517479394,GET,25410,200
1606517504804,GET,22451,200
1606517527255,GET,26739,200
1606517553994,GET,25951,200
1606517579945,GET,23763,200
1606517603708,GET,16472,200
1606517620180,GET,8106,200
1606517628286,GET,5397,200
1606517633683,GET,4803,200
1606517366245,GET,28088,200
1606517394333,GET,22042,200
1606517416375,GET,24072,200
1606517440447,GET,23999,200
1606517464446,GET,24219,200
1606517488665,GET,26150,200
1606517514815,GET,24892,200
